,species_desc,count,proportion,shannon_component
0,Acer platanoides,9157,0.27225426651602547,-0.3542079316344395
1,Sorbus aucuparia,3570,0.10614259380388892,-0.23807485150690275
2,Acer pseudoplatanus,2812,0.08360587500743295,-0.20747980790449594
3,Tilia cordata,2062,0.061307010762918474,-0.1711606569432996
4,Tilia spp.,1333,0.0396325147172504,-0.127937935523548
5,Prunus serrulata,1322,0.03930546470833086,-0.12720788048055975
6,Sorbus aria,1266,0.03764048284474044,-0.12344855570717947
7,Betula pendula,806,0.023963846108104894,-0.08941411819112535
8,Sorbus intermedia,790,0.023488137004221917,-0.08811010397101403
9,Fraxinus excelsior,749,0.022269132425521792,-0.08472411140270385
10,Acer campestre,672,0.019979782363084973,-0.07818157566248483
11,Acer platanoides 'Crimson King',656,0.019504073259201997,-0.0767901099866482
12,Acer platanoides 'Crimson Sentry',579,0.01721472319676518,-0.06992603797984528
13,Sorbus x thuringiaca,534,0.01587679134209431,-0.06577590963505427
14,Carpinus betulus,513,0.015252423143247904,-0.06380114368129923
15,Tilia x europaea,459,0.01364690491764286,-0.058603119486863496
16,Acer pseudoplatanus f. purpureum,398,0.011833263959089017,-0.05250230754747299
17,Ulmus spp.,374,0.011119700303264554,-0.05002794244466591
18,Prunus cerasifera 'Nigra',369,0.010971041208301124,-0.04950678061100553
19,Alnus incana,355,0.010554795742403521,-0.048036721981048476
20,Acer saccharinum,271,0.008057322947017899,-0.03884575524270118
21,Corylus colorna,244,0.007254563834215378,-0.03573688474057907
22,Fagus sylvatica,235,0.0069869774632812034,-0.034681310514971635
23,Prunus cerasifera,205,0.0060950228935006245,-0.03108634018518698
24,Prunus spp.,201,0.00597609561752988,-0.030597536838786573
25,Pyrus calleryana,187,0.005559850151632277,-0.028867765679272652
26,Platanus x acerifolia,183,0.005440922875661533,-0.028367919524354912
27,Acer platanoides 'Drummondii',183,0.005440922875661533,-0.028367919524354912
28,Platanus x hispanica,177,0.0052625319617054175,-0.027613257779391963
29,Populus nigra,162,0.004816554676815127,-0.02569967346803087
30,Pyrus spp.,149,0.00443004102991021,-0.024007927054095504
31,Stump,139,0.00413272283998335,-0.022683766843887985
32,Acer platanoides 'Globosum',132,0.003924600107034548,-0.021744210851445404
33,Carpinus betulus 'Fastigiata',130,0.0038651364690491766,-0.021473763974594894
34,Malus spp.,128,0.0038056728310638045,-0.021202402236453408
35,Malus floribunda,127,0.0037759410120711185,-0.021066373844421157
36,Betula spp.,108,0.003211036451210085,-0.01843507888718307
37,Aesculus hippocastanum,107,0.003181304632217399,-0.018293977457169066
38,Corylus spp.,83,0.0024677409763929356,-0.014817432565164598
39,Crataegus monogyna,80,0.002378545519414878,-0.014369426424234558
40,Sorbus x thuringiaca 'Fastigiata',74,0.002200154605458762,-0.013463246886930215
41,Prunus avium,70,0.002081227329488018,-0.01285115730487999
42,Salix caprea,70,0.002081227329488018,-0.01285115730487999
43,Crat. oxyacanthoides 'Paul's Scarlet',66,0.001962300053517274,-0.01223226817523083
44,Betula jacquemontii,65,0.0019325682345245883,-0.012076436210297876
45,Alnus glutinosa,64,0.0019028364155319023,-0.011920146814719436
46,Acer spp.,59,0.0017541773205684724,-0.011131580020676744
47,Amelanchier lamarchii,58,0.0017244455015757863,-0.010972387591577093
48,Fraxinus spp.,45,0.0013379318546708687,-0.00885260038113388
49,Quercus robur,43,0.0012784682166854969,-0.008517273675617908
50,Cupressus macrocarpa,43,0.0012784682166854969,-0.008517273675617908
51,x Cupressocyparis leylandii,41,0.0012190045787001248,-0.008179180221428134
52,Alnus spp.,39,0.001159540940714753,-0.007838184950501544
53,Tilia cordata 'Greenspire',39,0.001159540940714753,-0.007838184950501544
54,Quercus spp.,37,0.001100077302729381,-0.007494138924249967
55,Tilia platyphyllos 'Rubra',36,0.001070345483736695,-0.007320920997281235
56,Betula papyrifera,36,0.001070345483736695,-0.007320920997281235
57,"""Acer campestre """"Streetwise""""""",34,0.001010881845751323,-0.00697198356698169
58,Pinus sylvestris,34,0.001010881845751323,-0.00697198356698169
59,Tilia  euchlora,31,0.0009216863887732651,-0.00644194777821621
60,Crataegus spp.,31,0.0009216863887732651,-0.00644194777821621
61,Robinia pseudocacia,30,0.0008919545697805792,-0.0062633900434862395
62,Cordyline australis,30,0.0008919545697805792,-0.0062633900434862395
63,Sorbus aria 'Lutescens',28,0.0008324909317952073,-0.005903266647125223
64,Fraxinus ornus,27,0.0008027591128025212,-0.005721630153211509
65,Alnus cordata,25,0.0007432954748171493,-0.005355010491031764
66,Acer pseudoplatanus 'Leopoldii',24,0.0007135636558244634,-0.005169939163038414
67,Unknown Broadleaf,24,0.0007135636558244634,-0.005169939163038414
68,Salix spp.,22,0.0006541000178390914,-0.004796025042693
69,Quercus ilex,21,0.0006243681988464054,-0.004607069522761037
70,Larix kaempferi,19,0.0005649045608610335,-0.004224838598989381
71,Populus spp.,18,0.0005351727418683475,-0.004031413975779198
72,Salix fragilis,18,0.0005351727418683475,-0.004031413975779198
73,Gleditsia triancanthos 'sunburst',17,0.0005054409228756615,-0.0038363367341217266
74,Prunus serrula,13,0.00038651364690491766,-0.003037356959061517
75,Liquidamber styraciflua,13,0.00038651364690491766,-0.003037356959061517
76,Fagus sylvatica f. purpurea,12,0.0003567818279122317,-0.0028322718996115935
77,Populus x candicans 'Aurora',12,0.0003567818279122317,-0.0028322718996115935
78,Salix alba,9,0.0002675863709341737,-0.002201183726458889
79,Acer pseudoplatanus 'Atropurpureum',9,0.0002675863709341737,-0.002201183726458889
80,Fraxinus angustifolia,9,0.0002675863709341737,-0.002201183726458889
81,Prunus persica,9,0.0002675863709341737,-0.002201183726458889
82,Eucalyptus spp.,9,0.0002675863709341737,-0.002201183726458889
83,Pinus nigra var nigra,8,0.00023785455194148778,-0.0019846229880247034
84,Gleditsia triacanthos 'Skyline',8,0.00023785455194148778,-0.0019846229880247034
85,Acer negundo,8,0.00023785455194148778,-0.0019846229880247034
86,Sambucus nigra,8,0.00023785455194148778,-0.0019846229880247034
87,Laburnum x watereri,7,0.00020812273294880181,-0.0017643360328890908
88,Taxus baccata,7,0.00020812273294880181,-0.0017643360328890908
89,Castanea sativa,7,0.00020812273294880181,-0.0017643360328890908
90,Salix 'Chrysocoma',7,0.00020812273294880181,-0.0017643360328890908
91,Populus alba,7,0.00020812273294880181,-0.0017643360328890908
92,Tilia cordata 'Erecta',7,0.00020812273294880181,-0.0017643360328890908
93,Cotoneaster spp.,6,0.00017839091395611584,-0.0015397871088519905
94,Populus nigra 'Italica',6,0.00017839091395611584,-0.0015397871088519905
95,Acer buergerianum,6,0.00017839091395611584,-0.0015397871088519905
96,Amelanchier arborea,6,0.00017839091395611584,-0.0015397871088519905
97,Cercis siliquastrum,6,0.00017839091395611584,-0.0015397871088519905
98,Crataegus crus-galli,6,0.00017839091395611584,-0.0015397871088519905
99,"""Tilia cordata """"Street Wise""""""",6,0.00017839091395611584,-0.0015397871088519905
100,Acer palmatum,5,0.00014865909496342988,-0.001310259681668638
101,Liriodendron tulipifera,5,0.00014865909496342988,-0.001310259681668638
102,Cedrus deodara,5,0.00014865909496342988,-0.001310259681668638
103,"""Acer campestre """"Queen Elizabeth""""""",4,0.00011892727597074389,-0.0010747456000431473
104,Ulmus glabra,4,0.00011892727597074389,-0.0010747456000431473
105,Betula albosinensis var septentrionalis,3,8.919545697805792e-05,-0.000831719133949092
106,Euonymus europaeus,3,8.919545697805792e-05,-0.000831719133949092
107,Thuja spp.,3,8.919545697805792e-05,-0.000831719133949092
108,Unknown Conifer,3,8.919545697805792e-05,-0.000831719133949092
109,Quercus cerris,3,8.919545697805792e-05,-0.000831719133949092
110,Prunus dulcis,3,8.919545697805792e-05,-0.000831719133949092
111,"""Robinia pseudocacia """"Bessoniana""""""",3,8.919545697805792e-05,-0.000831719133949092
112,Prunus laurocerasus,3,8.919545697805792e-05,-0.000831719133949092
113,Abis numidica x homolepsis,3,8.919545697805792e-05,-0.000831719133949092
114,Laburnum x watereri 'Vossii',3,8.919545697805792e-05,-0.000831719133949092
115,Amelanchier alniflora,2,5.9463637985371946e-05,-0.0005785898530369716
116,Pyrus salicifolia'Pendula',2,5.9463637985371946e-05,-0.0005785898530369716
117,Prunus spinosa,2,5.9463637985371946e-05,-0.0005785898530369716
118,Crataegus oxyacanthoides,2,5.9463637985371946e-05,-0.0005785898530369716
119,Abies nordmanianna,2,5.9463637985371946e-05,-0.0005785898530369716
120,Chamaecyparis lawsoniana,2,5.9463637985371946e-05,-0.0005785898530369716
121,Abies pinsapo 'Glauca',2,5.9463637985371946e-05,-0.0005785898530369716
122,Ilex aquifolium,2,5.9463637985371946e-05,-0.0005785898530369716
123,Acer rubrum,2,5.9463637985371946e-05,-0.0005785898530369716
124,Abies cephalonica,2,5.9463637985371946e-05,-0.0005785898530369716
125,Juniperus spp.,2,5.9463637985371946e-05,-0.0005785898530369716
126,Acer pseudoplatanus 'Negenia',2,5.9463637985371946e-05,-0.0005785898530369716
127,Pyracantha coccinia,1,2.9731818992685973e-05,-0.0003099034530261847
128,Ginkgo biloba 'Fastigiata',1,2.9731818992685973e-05,-0.0003099034530261847
129,Quercus petraea,1,2.9731818992685973e-05,-0.0003099034530261847
130,Ulmus procera,1,2.9731818992685973e-05,-0.0003099034530261847
131,Picea glauca 'Albertiana',1,2.9731818992685973e-05,-0.0003099034530261847
132,Pinus spp.,1,2.9731818992685973e-05,-0.0003099034530261847
133,Cedrus atlantica Glauca,1,2.9731818992685973e-05,-0.0003099034530261847
134,Populus tremula,1,2.9731818992685973e-05,-0.0003099034530261847
135,Carpinus fastigiata 'Frans Fontaine',1,2.9731818992685973e-05,-0.0003099034530261847
136,Juglans regia,1,2.9731818992685973e-05,-0.0003099034530261847
137,Eucalyptus gunnii,1,2.9731818992685973e-05,-0.0003099034530261847
138,Abies pinsapo,1,2.9731818992685973e-05,-0.0003099034530261847
139,Acacia dealbata,1,2.9731818992685973e-05,-0.0003099034530261847
140,Pinus radiata,1,2.9731818992685973e-05,-0.0003099034530261847
141,Morus nigra,1,2.9731818992685973e-05,-0.0003099034530261847
142,Sequoiadendron giganteum,1,2.9731818992685973e-05,-0.0003099034530261847
143,Morus alba,1,2.9731818992685973e-05,-0.0003099034530261847
144,Malus x zumi 'Golden Hornet',1,2.9731818992685973e-05,-0.0003099034530261847
145,Laburnum alpinum 'Autumnale',1,2.9731818992685973e-05,-0.0003099034530261847
146,Ginko biloba,1,2.9731818992685973e-05,-0.0003099034530261847
147,Betula nigra,1,2.9731818992685973e-05,-0.0003099034530261847
